sha,date,churn,commits,bugs,features
c9c8c4e085015b14ca6c3db077bac05e36859907,2013-01-17 07:27:27+00:00,2394,1,0,0
faca0eb1c2a1830c268c8847944f8f70bb1f57eb,2013-02-26 09:38:06+00:00,545,85,0,0
f1508666ecc70ecbf04290560756cb6fa72df291,2015-06-11 09:14:16+00:00,233378,194,0,0
3510dbfc4522f7cfc933519806625024be871a89,2016-09-20 03:41:05+00:00,144975,22,16,17
872c7d5ed4518adc75b4d946189c12e3cd4ec44c,2016-10-23 13:37:06+00:00,465,41,2,4
536e7e9ae22880935bcd8f92b3b2dc3837fd1ac2,2016-11-12 16:23:53+00:00,746,23,2,2
2a94e8443e6742e88fdcecc4a74557e4f6aecd8b,2016-11-12 16:26:53+00:00,1296,7,0,0
30ca9b677afabc2fb723116a769d86010c7baf10,2016-11-12 18:27:10+00:00,351,10,0,0
06ddea857d081a58802f8aaaed9a252133696fb6,2016-12-08 08:44:46+00:00,819,47,6,2
769c22935a343f06836846e5677c1b58d685296f,2016-12-14 21:46:23+00:00,819,4,0,0
